iata,name,city,country_code,size_rank
AAC,El Arish International Airport,El Arish,EG,0
AAE,Annaba Rabah Bitat Airport,Annaba,DZ,0
AAL,Aalborg Airport,Aalborg,DK,0
AAN,Al Ain International Airport,Al Ain,AE,0
AAR,Aarhus Airport,Aarhus,DK,0
ABA,Abakan International Airport,Abakan,RU,0
ABB,Asaba International Airport,Asaba,NG,0
ABD,Abadan Ayatollah Jami International Airport,Abadan,IR,0
ABJ,Félix-Houphouët-Boigny International Airport,Abidjan,CI,0
ABQ,Albuquerque International Sunport,Albuquerque,US,0
ABV,Nnamdi Azikiwe International Airport,Abuja,NG,0
ABZ,Aberdeen International Airport,Aberdeen,GB,0
ACA,General Juan N. Álvarez International Airport,Acapulco,MX,0
ACC,Kotoka International Airport,Accra,GH,0
ACE,César Manrique-Lanzarote Airport,San Bartolomé,ES,0
ADB,Adnan Menderes International Airport,Gaziemir,TR,0
ADD,Addis Ababa Bole International Airport,Addis Ababa,ET,0
ADE,Aden International Airport,Aden,YE,0
ADJ,Marka International (Amman Civil) Airport,Amman,JO,0
ADL,Adelaide International Airport,Adelaide,AU,0
ADZ,Gustavo Rojas Pinilla International Airport,San Andrés,CO,0
AEP,Aeroparque Jorge Newbery,Buenos Aires,AR,0
AER,Sochi International Airport,Sochi,RU,0
AES,Ålesund Airport,Ålesund,NO,0
AEY,Akureyri International Airport,Akureyri,IS,0
AGA,Al Massira Airport,Agadir (Temsia),MA,0
AGP,Málaga-Costa del Sol Airport,Málaga,ES,0
AGT,Guaraní International Airport,Ciudad del Este,PY,0
AGU,Aguascalientes International Airport,Aguascalientes,MX,0
AHB,Abha International Airport,Abha,SA,0
AJF,Al-Jawf International Airport,Al-Jawf,SA,0
AKL,Auckland International Airport,Auckland,NZ,0
AKX,Aktobe International Airport,Aktobe,KZ,0
ALA,Almaty International Airport,Almaty,KZ,0
ALB,Albany International Airport,Albany,US,0
ALC,Alicante-Elche Miguel Hernández Airport,Alicante,ES,0
ALG,Houari Boumediene Airport,Algiers,DZ,0
ALP,Aleppo International Airport,Aleppo,SY,0
AMD,Sardar Vallabh Patel International Airport,Ahmedabad,IN,0
AMM,Queen Alia International Airport,Amman,JO,0
AMQ,Pattimura International Airport,Ambon,ID,0
AMS,Amsterdam Airport Schiphol,Amsterdam,NL,0
ANC,Ted Stevens Anchorage International Airport,Anchorage,US,0
ANF,Andrés Sabella Gálvez International Airport,Antofagasta,CL,0
ANU,V. C. Bird International Airport,Osbourn,AG,0
AOE,Hasan Polatkan Airport,Eskişehir,TR,0
AOJ,Aomori Airport,Aomori,JP,0
APL,Nampula Airport,Nampula,MZ,0
APW,Faleolo International Airport,Apia,WS,0
AQI,Qaisumah–Hafar Al-Batin International Airport,Qaisumah,SA,0
AQJ,King Hussein International Airport,Aqaba,JO,0
AQP,Rodríguez Ballón International Airport,Arequipa,PE,0
ARN,Stockholm-Arlanda Airport,Stockholm,SE,0
ASB,Ashgabat International Airport,Ashgabat,TM,0
ASF,Astrakhan Narimanovo Boris M. Kustodiev International Airport,Astrakhan,RU,0
ASR,Kayseri Erkilet International Airport,Kayseri,TR,0
ASU,Silvio Pettirossi International Airport,Asunción,PY,0
ASW,Aswan International Airport,Aswan,EG,0
ATH,Athens Eleftherios Venizelos International Airport,Spata-Artemida,GR,0
ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,US,0
ATQ,Sri Guru Ram Das Ji International Airport,Amritsar,IN,0
ATZ,Asyut International Airport,Asyut,EG,0
AUA,Queen Beatrix International Airport,Oranjestad,AW,0
AUH,Zayed International Airport,Abu Dhabi,AE,0
AUS,Austin Bergstrom International Airport,Austin,US,0
AVV,Melbourne Avalon International Airport,Geelong/Melbourne,AU,0
AWA,Hawassa International Airport,Hawassa,ET,0
AWZ,Qasem Soleimani International Airport,Ahvaz,IR,0
AYT,Antalya International Airport,Antalya,TR,0
BAH,Bahrain International Airport,Manama,BH,0
BAQ,Ernesto Cortissoz International Airport,Barranquilla,CO,0
BAV,Baotou Donghe International Airport,Baotou,CN,0
BAX,Barnaul Gherman Titov International Airport,Barnaul,RU,0
BBI,Biju Patnaik International Airport,Bhubaneswar,IN,0
BBK,Kasane International Airport,Kasane,BW,0
BBU,Bucharest Băneasa Aurel Vlaicu International Airport,Bucharest,RO,0
BCD,Bacolod-Silay International Airport,Bacolod City,PH,0
BCM,Bacău George Enescu International  Airport,Bacău,RO,0
BCN,Josep Tarradellas Barcelona-El Prat Airport,Barcelona,ES,0
BCU,Sir Abubakar Tafawa Balewa Bauchi State International Airport,Bauchi,NG,0
BDA,L.F. Wade International Airport,Hamilton,BM,0
BDJ,Syamsudin Noor International Airport,Banjarbaru,ID,0
BDL,Bradley International Airport,Hartford,US,0
BDQ,Vadodara International Airport,Vadodara,IN,0
BDS,Brindisi Airport,Brindisi,IT,0
BEG,Belgrade Nikola Tesla Airport,Belgrade,RS,0
BEL,Val de Cans/Júlio Cezar Ribeiro International Airport,Belém,BR,0
BEM,Beni Mellal Airport,Oulad Yaich,MA,0
BEN,Benina International Airport,Benina,LY,0
BER,Berlin Brandenburg Airport,Berlin,DE,0
BES,Brest Bretagne airport,Brest,FR,0
BEW,Beira International Airport,Beira,MZ,0
BEY,Beirut Rafic Hariri International Airport,Beirut,LB,0
BFN,Bram Fischer International Airport,Bloemfontein,ZA,0
BFS,Belfast International Airport,Belfast,GB,0
BGF,Bangui M'Poko International Airport,Bangui,CF,0
BGI,Grantley Adams International Airport,Bridgetown,BB,0
BGO,"Bergen Airport, Flesland",Bergen,NO,0
BGW,Baghdad International Airport / New Al Muthana Air Base,Baghdad,IQ,0
BGY,Il Caravaggio International Airport,Orio al Serio (BG),IT,0
BHK,Bukhara International Airport,Bukhara,UZ,0
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,US,0
BHO,Raja Bhoj International Airport,Bhopal,IN,0
BHX,Birmingham Airport,"Birmingham, West Midlands",GB,0
BIA,Bastia-Poretta International airport,Bastia,FR,0
BIO,Bilbao Airport,Bilbao,ES,0
BJA,Soummam–Abane Ramdane Airport,Béjaïa,DZ,0
BJL,Banjul International Airport,Banjul (Yundum),GM,0
BJM,Bujumbura Melchior Ndadaye International Airport,Bujumbura,BI,0
BJV,Milas Bodrum International Airport,Bodrum,TR,0
BJX,Guanajuato International Airport,Silao,MX,0
BKI,Kota Kinabalu International Airport,Kota Kinabalu,MY,0
BKK,Suvarnabhumi Airport,Bangkok,TH,0
BKO,Modibo Keita International Airport,Bamako,ML,0
BLA,General José Antonio Anzoategui International Airport,Barcelona,VE,0
BLJ,Batna Mostefa Ben Boulaid Airport,Batna,DZ,0
BLL,Billund Airport,Billund,DK,0
BLQ,Bologna Guglielmo Marconi Airport,Bologna,IT,0
BLR,Kempegowda International Airport Bengaluru,Bengaluru,IN,0
BLZ,Chileka International Airport,Blantyre,MW,0
BME,Broome International Airport,Broome,AU,0
BNA,Nashville International Airport,Nashville,US,0
BND,Bandar Abbas International Airport,Bandar Abbas,IR,0
BNE,Brisbane International Airport,Brisbane,AU,0
